org_id remap_id freebase_id
9bd7c670d99951fae042e72d1b978563 0 9bd7c670d99951fae042e72d1b978563
03cea1da16f661f20a716685b3fcd3b5 1 03cea1da16f661f20a716685b3fcd3b5
292205c98623cc07b4d8ae24af8707e8 2 292205c98623cc07b4d8ae24af8707e8
17502a82fbda35600d0c7535d0c493ce 3 17502a82fbda35600d0c7535d0c493ce
f54a1eb326864f4436f1132d43883cd4 4 f54a1eb326864f4436f1132d43883cd4
49585b1dc840857cb65c730191565977 5 49585b1dc840857cb65c730191565977
3c6df67f71d399775cba5c91a120ac2f 6 3c6df67f71d399775cba5c91a120ac2f
827e5b1132dd3fdbe52b81909584818d 7 827e5b1132dd3fdbe52b81909584818d
1220e44c23f3934761f2882433dc452d 8 1220e44c23f3934761f2882433dc452d
c22a208fdab7cbd8840cd0e543bfc660 9 c22a208fdab7cbd8840cd0e543bfc660
e8c667e195c6f511a842fa70c4819948 10 e8c667e195c6f511a842fa70c4819948
018404829f7b00f2bb464e7a79c52651 11 018404829f7b00f2bb464e7a79c52651
b4c8ca01585c5a89ec62e3b4494dfe09 12 b4c8ca01585c5a89ec62e3b4494dfe09
851c5c613556856b5dfa5a204f07f133 13 851c5c613556856b5dfa5a204f07f133
a42899ec9a5477d9bd557a429860cd51 14 a42899ec9a5477d9bd557a429860cd51
577d1db9319a10bcb25fc1e7bc8a07bd 15 577d1db9319a10bcb25fc1e7bc8a07bd
6f632316115aa6950a515902deaa5f74 16 6f632316115aa6950a515902deaa5f74
0d917430ad681e0e710ea12e1d1bec1d 17 0d917430ad681e0e710ea12e1d1bec1d
e327219215df7c16164f29671229714f 18 e327219215df7c16164f29671229714f
56842f0ac7d0a080f5b502a31dcb4fba 19 56842f0ac7d0a080f5b502a31dcb4fba
aeaed215695e8b78917f6cfe1b52199b 20 aeaed215695e8b78917f6cfe1b52199b
4d7d893b48bb66eabce9eac5e60c5bc9 21 4d7d893b48bb66eabce9eac5e60c5bc9
725f010dcc637b82542da0f5e6b7040e 22 725f010dcc637b82542da0f5e6b7040e
a4e3eec574156e37d1301aee69c89db3 23 a4e3eec574156e37d1301aee69c89db3
0fe965897051fae8b8e5e260d62d6fa9 24 0fe965897051fae8b8e5e260d62d6fa9
bb7f1925d518a6b13fc76a49e0844527 25 bb7f1925d518a6b13fc76a49e0844527
27a3999a51508f3e5e980b50bc0d1d71 26 27a3999a51508f3e5e980b50bc0d1d71
f53caa5e2cda15158d61464a6dfae662 27 f53caa5e2cda15158d61464a6dfae662
3093df65c19a978e5490764aaa0c7711 28 3093df65c19a978e5490764aaa0c7711
5109f7e44b0a8d71a080e26682a1660f 29 5109f7e44b0a8d71a080e26682a1660f
228bc4e008ce8512c6564acab5bc1094 30 228bc4e008ce8512c6564acab5bc1094
73d9210ad288e82b5996f62a47e94f2d 31 73d9210ad288e82b5996f62a47e94f2d
1be1b04abc156c138b9218e864cbb7c2 32 1be1b04abc156c138b9218e864cbb7c2
092aa55b3ea329ee4a35216ac65391ce 33 092aa55b3ea329ee4a35216ac65391ce
d66a01089a07ff8190a07682450201d2 34 d66a01089a07ff8190a07682450201d2
e08505604d3cc7c5b0afef40209574a5 35 e08505604d3cc7c5b0afef40209574a5
dd1a0037407356da3ad01cf5aa7c6717 36 dd1a0037407356da3ad01cf5aa7c6717
c3b6f4029f526c8d371c47087331e7cc 37 c3b6f4029f526c8d371c47087331e7cc
747fbd9a7ec3cb3436b84edc61d64dff 38 747fbd9a7ec3cb3436b84edc61d64dff
83605782765f062ba81cb2b47869be17 39 83605782765f062ba81cb2b47869be17
ff20150e4310d47389733579c5298793 40 ff20150e4310d47389733579c5298793
7e6f490eef71575339fbd93e651d884f 41 7e6f490eef71575339fbd93e651d884f
20e4c330f985dc4fa217630f4a4f9e4d 42 20e4c330f985dc4fa217630f4a4f9e4d
ccf35baa2ae54b18e01274fb27ab960b 43 ccf35baa2ae54b18e01274fb27ab960b
7ea8bc5805d69d46e28ccbd9507cd6ee 44 7ea8bc5805d69d46e28ccbd9507cd6ee
53ded0693c1fdeec8cf1ffeab51d446e 45 53ded0693c1fdeec8cf1ffeab51d446e
f752e003c7e6061cc1e0e6a2c506e71c 46 f752e003c7e6061cc1e0e6a2c506e71c
a1e5945884e4f0fa67581cb99aedb01e 47 a1e5945884e4f0fa67581cb99aedb01e
73d8454b15f5e0c680a3605a3ebefb7a 48 73d8454b15f5e0c680a3605a3ebefb7a
c41117b39697efad6026afb1eaa5d043 49 c41117b39697efad6026afb1eaa5d043
2daaff98b0bb1d233c8d0bb9eda0856d 50 2daaff98b0bb1d233c8d0bb9eda0856d
3f5697df7d56c28d1a4a9fcc3485b4dd 51 3f5697df7d56c28d1a4a9fcc3485b4dd
c1c5cd412131213d79052ca830174b94 52 c1c5cd412131213d79052ca830174b94
fb76c960f020645b19bfd33221c8a3e0 53 fb76c960f020645b19bfd33221c8a3e0
fe67452bd87786e05f9733a8951325c8 54 fe67452bd87786e05f9733a8951325c8
2f9a626bed395c8349d16e10c1ed5065 55 2f9a626bed395c8349d16e10c1ed5065
c1c1213be737154747eba3dd1369de9f 56 c1c1213be737154747eba3dd1369de9f
6f499d8816896d4c9935fcfdcf32dbef 57 6f499d8816896d4c9935fcfdcf32dbef
064a335c9cfe6f9c0096cba6e7b02916 58 064a335c9cfe6f9c0096cba6e7b02916
dd311ad407e0a7cd46ee3e294dbf0da4 59 dd311ad407e0a7cd46ee3e294dbf0da4
b81fe2743cf18b48bae8848ac1c56edd 60 b81fe2743cf18b48bae8848ac1c56edd
701006e75c1d0c98eb2cdefb22191b19 61 701006e75c1d0c98eb2cdefb22191b19
b5a783e5e6e49213198791cd2c9306f2 62 b5a783e5e6e49213198791cd2c9306f2
52f0944af9dcf4c1062ddb61b960bd57 63 52f0944af9dcf4c1062ddb61b960bd57
25ed95ad690958ce84eb9b964aeb094a 64 25ed95ad690958ce84eb9b964aeb094a
7447f3c004d96eb30918c018f00d43f3 65 7447f3c004d96eb30918c018f00d43f3
e130125efddd6ca39fe7219ea8c996c3 66 e130125efddd6ca39fe7219ea8c996c3
9e3f992f11cff01e3d943b02300f3ef1 67 9e3f992f11cff01e3d943b02300f3ef1
bc3c8f131672a09076cbb9fe0ea42a24 68 bc3c8f131672a09076cbb9fe0ea42a24
